Genotype,image_name
APPPS1xFIRE,C_1_M04_OC_C_1_M04_OC_DGG_P+_151123_1 - C_1_M04_OC.lif_
APPPS1,B_1_M04_OC_B_1_M04_OC_L4_P+_021123_2 - B_1_M04_OC.lif_
APPPS1xFIRE,F_1_M04_OC_F_1_M04_OC_L1_P+_231123_1 - F_1_M04_OC.lif_
APPPS1,H_1_M04_OC_H_1_M04_OC_L4_P+_110124_1 - H_1_M04_OC.lif_
APPPS1xFIRE,H_3_M04_OC_H_3_M04_OC_L1_P+_210224_1 - H_3_M04_OC.lif_
APPPS1xFIRE,C_1_M04_OC_C_1_M04_OC_L23_P+_151123_2 - C_1_M04_OC.lif_
APPPS1xFIRE,B_3_M04_OC_B_3_M04_OC_DGM_P+_131123_1 - B_3_M04_OC.lif_
APPPS1xFIRE,D_3_M04_OC_D_3_M04_OC_DGG_P+_221123_1 - D_3_M04_OC.lif_
APPPS1,A_4_M04_OC_A_4_M04_OC_L1_P+_201223_1 - A_4_M04_OC.lif (default)_
APPPS1xFIRE,B_3_M04_OC_B_3_M04_OC_L23_P+_061123_1 - B_3_M04_OC.lif_
APPPS1,C_2_M04_OC_C_2_M04_OC_L1_P+_161123_2 - C_2_M04_OC.lif_
APPPS1xFIRE,B_4_M04_OC_B_4_M04_OC_DGM_P+_131123_1 - B_4_M04_OC.lif_
APPPS1,H_1_M04_OC_H_1_M04_OC_DGM_P+_300124_2 - H_1_M04_OC.lif_
APPPS1,H_1_M04_OC_H_1_M04_OC_CA1_P+_300124_1 - H_1_M04_OC.lif_
APPPS1,B_1_M04_OC_B_1_M04_OC_L23_P+_021123_1 - B_1_M04_OC.lif_
APPPS1,A_4_M04_OC_A_4_M04_OC_L4_P+_201223_1 - A_4_M04_OC.lif_
APPPS1,F_3_M04_OC_F_3_M04_OC_L1_P+_231123_1 - F_3_M04_OC.lif (default)_
APPPS1,C_2_M04_OC_C_2_M04_OC_L4_P+_161123_2 - C_2_M04_OC.lif_
APPPS1,B_2_M04_OC_B_2_M04_OC_L1_P+_031123_1 - B_2_M04_OC.lif_
APPPS1xFIRE,F_2_M04_OC_F_2_M04_OC_L23_P+_231123_1 - F_2_M04_OC.lif_
APPPS1,C_2_M04_OC_C_2_M04_OC_L23_P+_161123_1 - C_2_M04_OC.lif_
APPPS1xFIRE,F_2_M04_OC_F_2_M04_OC_L4_P+_231123_1 - F_2_M04_OC.lif (default)_
APPPS1xFIRE,H_3_M04_OC_H_3_M04_OC_L4_P+_210224_1 - H_3_M04_OC.lif_
APPPS1,H_1_M04_OC_H_1_M04_OC_L23_P+_110124_2 - H_1_M04_OC.lif_
APPPS1xFIRE,D_4_M04_OC_D_4_M04_OC_L4_P+_221123_1 - D_4_M04_OC.lif_
APPPS1xFIRE,D_3_M04_OC_D_3_M04_OC_DGM_P+_221123_1 - D_3_M04_OC.lif_
APPPS1xFIRE,B_3_M04_OC_B_3_M04_OC_DGG_P+_131123_1 - B_3_M04_OC.lif_
APPPS1,C_2_M04_OC_C_2_M04_OC_L1_P+_161123_1 - C_2_M04_OC.lif (default)_
APPPS1xFIRE,B_4_M04_OC_B_4_M04_OC_L4_P+_131123_1 - B_4_M04_OC.lif_
APPPS1xFIRE,D_3_M04_OC_D_3_M04_OC_L1_P+_221123_2 - D_3_M04_OC.lif_
APPPS1xFIRE,C_1_M04_OC_C_1_M04_OC_DGM_P+_151123_1 - C_1_M04_OC.lif_
APPPS1,B_1_M04_OC_B_1_M04_OC_L4_P+_021123_3 - B_1_M04_OC.lif_
APPPS1,B_2_M04_OC_B_2_M04_OC_DGG_P+_031123_2 - B_2_M04_OC.lif_
APPPS1xFIRE,C_1_M04_OC_C_1_M04_OC_L1_P+_151123_1 - C_1_M04_OC.lif (default)_
APPPS1xFIRE,F_1_M04_OC_F_1_M04_OC_L4_P+_231123_1 - F_1_M04_OC.lif (default)_
APPPS1,C_2_M04_OC_C_2_M04_OC_CA1_P+_161123_1 - C_2_M04_OC.lif_
APPPS1,A_4_M04_OC_A_4_M04_OC_L23_P+_201223_1 - A_4_M04_OC.lif_
APPPS1,C_2_M04_OC_C_2_M04_OC_L1_P+_161123_3 - C_2_M04_OC.lif_
APPPS1xFIRE,F_1_M04_OC_F_1_M04_OC_L23_P+_231123_2 - F_1_M04_OC.lif_
APPPS1xFIRE,F_2_M04_OC_F_2_M04_OC_CA1_P+_231123_1 - F_2_M04_OC.lif_
APPPS1,B_2_M04_OC_B_2_M04_OC_L23_P+_031123_1 - B_2_M04_OC.lif_
APPPS1xFIRE,B_4_M04_OC_B_4_M04_OC_CA1_P+_151123_1 - B_4_M04_OC.lif_
APPPS1xFIRE,D_4_M04_OC_D_4_M04_OC_L1_P+_221123_1 - D_4_M04_OC.lif (default)_
APPPS1xFIRE,B_4_M04_OC_B_4_M04_OC_L1_P+_131123_1 - B_4_M04_OC.lif (default)_
APPPS1,B_1_M04_OC_B_1_M04_OC_L1_P+_021123_1 - B_1_M04_OC.lif_
APPPS1,C_2_M04_OC_C_2_M04_OC_DGG_P+_161123_1 - C_2_M04_OC.lif_
APPPS1xFIRE,B_4_M04_OC_B_4_M04_OC_DGG_P+_151123_1 - B_4_M04_OC.lif_
APPPS1,H_1_M04_OC_H_1_M04_OC_L1_P+_110124_2 - H_1_M04_OC.lif_
APPPS1,H_1_M04_OC_H_1_M04_OC_DGM_P+_300124_1 - H_1_M04_OC.lif_
APPPS1xFIRE,F_1_M04_OC_F_1_M04_OC_L4_P+_231123_2 - F_1_M04_OC.lif_
APPPS1,H_1_M04_OC_H_1_M04_OC_CA1_P+_300124_2 - H_1_M04_OC.lif_
APPPS1xFIRE,H_3_M04_OC_H_3_M04_OC_DGM_P+_210224_1 - H_3_M04_OC.lif_
APPPS1xFIRE,H_3_M04_OC_H_3_M04_OC_L23_P+_210224_1 - H_3_M04_OC.lif (default)_
APPPS1,B_1_M04_OC_B_1_M04_OC_DGG_P+_021123_1 - B_1_M04_OC.lif_
APPPS1,C_2_M04_OC_C_2_M04_OC_L23_P+_161123_2 - C_2_M04_OC.lif_
APPPS1,B_2_M04_OC_B_2_M04_OC_L1_P+_031123_2 - B_2_M04_OC.lif_
APPPS1xFIRE,F_1_M04_OC_F_1_M04_OC_CA1_P+_231123_1 - F_1_M04_OC.lif_
APPPS1,B_2_M04_OC_B_2_M04_OC_CA1_P+_031123_2 - B_2_M04_OC.lif_
APPPS1,B_2_M04_OC_B_2_M04_OC_DGM_P+_031123_1 - B_2_M04_OC.lif_
APPPS1,H_1_M04_OC_H_1_M04_OC_L1_P+_110124_1 - H_1_M04_OC.lif (default)_
APPPS1,C_2_M04_OC_C_2_M04_OC_L4_P+_161123_1 - C_2_M04_OC.lif_
APPPS1xFIRE,D_4_M04_OC_D_4_M04_OC_L23_P+_221123_1 - D_4_M04_OC.lif_
APPPS1,H_1_M04_OC_H_1_M04_OC_L4_P+_110124_2 - H_1_M04_OC.lif_
APPPS1xFIRE,B_3_M04_OC_B_3_M04_OC_L1_P+_061123_2 - B_3_M04_OC.lif_
APPPS1xFIRE,D_3_M04_OC_D_3_M04_OC_L23_P+_221123_1 - D_3_M04_OC.lif_
APPPS1,B_1_M04_OC_B_1_M04_OC_L4_P+_021123_1 - B_1_M04_OC.lif_
APPPS1,A_4_M04_OC_A_4_M04_OC_L1_P+_201223_2 - A_4_M04_OC.lif_
APPPS1xFIRE,B_3_M04_OC_B_3_M04_OC_CA1_P+_131123_1 - B_3_M04_OC.lif_
APPPS1xFIRE,C_1_M04_OC_C_1_M04_OC_L23_P+_151123_1 - C_1_M04_OC.lif_
APPPS1xFIRE,H_3_M04_OC_H_3_M04_OC_L23_P+_210224_2 - H_3_M04_OC.lif_
APPPS1,B_2_M04_OC_B_2_M04_OC_DGG_P+_031123_1 - B_2_M04_OC.lif_
APPPS1xFIRE,D_4_M04_OC_D_4_M04_OC_L1_P+_221123_2 - D_4_M04_OC.lif_
APPPS1xFIRE,B_3_M04_OC_B_3_M04_OC_L4_P+_131123_1 - B_3_M04_OC.lif_
APPPS1xFIRE,B_3_M04_OC_B_3_M04_OC_L1_P+_061123_1 - B_3_M04_OC.lif (default)_
APPPS1xFIRE,H_3_M04_OC_H_3_M04_OC_DGG_P+_210224_1 - H_3_M04_OC.lif_
APPPS1xFIRE,F_1_M04_OC_F_1_M04_OC_L23_P+_231123_1 - F_1_M04_OC.lif_
APPPS1,H_1_M04_OC_H_1_M04_OC_DGG_P+_300124_1 - H_1_M04_OC.lif_
APPPS1,B_1_M04_OC_B_1_M04_OC_CA1_P+_021123_1 - B_1_M04_OC.lif (default)_
APPPS1,B_2_M04_OC_B_2_M04_OC_L23_P+_031123_2 - B_2_M04_OC.lif_
APPPS1xFIRE,F_2_M04_OC_F_2_M04_OC_DGM_P+_231123_1 - F_2_M04_OC.lif_
APPPS1,C_2_M04_OC_C_2_M04_OC_DGM_P+_161123_1 - C_2_M04_OC.lif_
APPPS1,A_4_M04_OC_A_4_M04_OC_L23_P+_201223_2 - A_4_M04_OC.lif_
APPPS1xFIRE,D_3_M04_OC_D_3_M04_OC_L4_P+_221123_1 - D_3_M04_OC.lif_
APPPS1,B_2_M04_OC_B_2_M04_OC_CA1_P+_031123_1 - B_2_M04_OC.lif (default)_
APPPS1,H_1_M04_OC_H_1_M04_OC_L23_P+_110124_1 - H_1_M04_OC.lif_
APPPS1xFIRE,D_3_M04_OC_D_3_M04_OC_CA1_P+_221123_1 - D_3_M04_OC.lif_
APPPS1xFIRE,D_4_M04_OC_D_4_M04_OC_CA1_P+_221123_1 - D_4_M04_OC.lif_
APPPS1xFIRE,C_1_M04_OC_C_1_M04_OC_CA1_P+_151123_1 - C_1_M04_OC.lif_
APPPS1xFIRE,C_1_M04_OC_C_1_M04_OC_L4_P+_151123_1 - C_1_M04_OC.lif_
APPPS1,F_3_M04_OC_F_3_M04_OC_L23_P+_231123_1 - F_3_M04_OC.lif_
APPPS1xFIRE,B_4_M04_OC_B_4_M04_OC_L23_P+_131123_1 - B_4_M04_OC.lif_
APPPS1xFIRE,D_3_M04_OC_D_3_M04_OC_L1_P+_221123_1 - D_3_M04_OC.lif (default)_